Altium Designer Pick and Place Locations
C:\Users\justin.massiot\AppData\Local\Temp\Releases\Snapshot\9\Assembly 1\2024-11-11_DVID2_EVB_ASM_PickAndPlace_v-A1.csv

========================================================================================================================
File Design Information:

Date:       11/11/24
Time:       01:03
Revision:   Not in VersionControl
Variant:    1
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Variation"
"C205B","TopLayer","110.2500","3.7500","270","Fitted"
"C205A","TopLayer","35.2500","3.7500","270","Fitted"
"SW202B","TopLayer","87.0000","7.0000","0","Fitted"
"SW202A","TopLayer","12.0000","7.0000","0","Fitted"
"R315B","TopLayer","120.5000","26.0000","0","Fitted"
"R218B","TopLayer","111.7500","3.7500","270","Fitted"
"R218A","TopLayer","36.7500","3.7500","270","Fitted"
"Q402B","TopLayer","96.0000","88.7500","0","Fitted"
"Q402A","TopLayer","21.0000","88.7500","0","Fitted"
"Q401B","TopLayer","147.7500","42.0000","0","Fitted"
"Q401A","TopLayer","72.7500","42.0000","0","Fitted"
"A401B","TopLayer","112.5000","84.2550","270","Fitted"
"A401A","TopLayer","37.5000","84.2550","270","Fitted"
"TP413B","TopLayer","124.2500","87.5000","180","Fitted"
"TP413A","TopLayer","49.2500","87.5000","180","Fitted"
"TP411B","TopLayer","100.7500","76.0000","0","Fitted"
"TP411A","TopLayer","25.7500","76.0000","0","Fitted"
"TP410B","TopLayer","98.0000","77.2500","180","Fitted"
"TP410A","TopLayer","23.0000","77.2500","180","Fitted"
"TP409B","TopLayer","100.7500","78.5000","0","Fitted"
"TP409A","TopLayer","25.7500","78.5001","0","Fitted"
"TP408B","TopLayer","98.0000","79.7500","0","Fitted"
"TP408A","TopLayer","23.0000","79.7500","0","Fitted"
"TP407B","TopLayer","98.0000","82.2500","180","Fitted"
"TP407A","TopLayer","23.0000","82.2500","180","Fitted"
"TP406B","TopLayer","100.7500","83.5000","0","Fitted"
"TP406A","TopLayer","25.7500","83.5000","0","Fitted"
"TP405B","TopLayer","98.0000","84.7500","180","Fitted"
"TP405A","TopLayer","23.0000","84.7500","180","Fitted"
"TP404B","TopLayer","100.7500","86.0000","0","Fitted"
"TP404A","TopLayer","25.7500","86.0000","0","Fitted"
"TP403B","TopLayer","124.2500","91.2500","0","Fitted"
"TP403A","TopLayer","49.2500","91.2500","0","Fitted"
"TP402B","TopLayer","127.0000","88.7500","180","Fitted"
"TP402A","TopLayer","52.0000","88.7500","180","Fitted"
"TP401B","TopLayer","148.2500","46.0000","270","Fitted"
"TP401A","TopLayer","73.2500","46.0000","270","Fitted"
"TP307A","TopLayer","32.2500","31.7500","270","Fitted"
"TP306A","TopLayer","35.2500","17.2500","180","Fitted"
"TP305A","TopLayer","35.2500","15.0000","180","Fitted"
"TP304A","TopLayer","45.2500","15.7500","0","Fitted"
"TP303A","TopLayer","45.2500","13.5000","0","Fitted"
"TP302A","TopLayer","45.2500","11.2500","0","Fitted"
"TP301B","TopLayer","109.0000","15.5000","90","Fitted"
"TP301A","TopLayer","35.2500","12.7500","0","Fitted"
"TP211B","TopLayer","134.7500","15.7500","270","Fitted"
"TP211A","TopLayer","59.7500","15.7500","270","Fitted"
"TP205B","TopLayer","140.7500","19.7500","90","Fitted"
"TP205A","TopLayer","65.7500","19.7500","90","Fitted"
"TP204B","TopLayer","123.5000","15.7500","270","Fitted"
"TP204A","TopLayer","48.5000","15.7499","270","Fitted"
"TP203B","TopLayer","133.5000","9.0000","270","Fitted"
"TP203A","TopLayer","58.5000","8.9999","270","Fitted"
"TP202B","TopLayer","119.5000","2.2500","180","Fitted"
"TP202A","TopLayer","44.4999","2.2500","180","Fitted"
"TP201B","TopLayer","119.5000","6.7500","180","Fitted"
"TP201A","TopLayer","44.4999","6.7500","180","Fitted"
"J401B","TopLayer","112.5600","62.5000","0","Fitted"
"J401A","TopLayer","37.5600","62.5000","0","Fitted"
"U201B","TopLayer","124.7500","4.5000","90","Fitted"
"U201A","TopLayer","49.7500","4.5000","90","Fitted"
"Y301A","TopLayer","45.2500","24.5000","270","Fitted"
"U402B","TopLayer","86.7500","55.7500","180","Fitted"
"U402A","TopLayer","11.7500","55.7500","180","Fitted"
"U401B","TopLayer","142.5000","50.0000","90","Fitted"
"U401A","TopLayer","67.5001","50.0001","90","Fitted"
"U301A","TopLayer","36.0000","24.0000","180","Fitted"
"U301B","TopLayer","112.5000","25.2500","0","Fitted"
"U302A","TopLayer","40.2500","14.5000","90","Fitted"
"SW401B","TopLayer","115.7500","70.7500","0","Fitted"
"SW401A","TopLayer","40.7500","70.7500","0","Fitted"
"SW301B","TopLayer","95.5000","23.7500","0","Fitted"
"SW301A","TopLayer","20.5000","23.7500","0","Fitted"
"SW201B","TopLayer","145.0000","15.0000","90","Fitted"
"SW201A","TopLayer","70.0000","15.0000","90","Fitted"
"R428B","TopLayer","124.2500","79.7500","90","Fitted"
"R428A","TopLayer","49.2500","79.7500","90","Fitted"
"R427B","TopLayer","124.2500","85.7500","0","Fitted"
"R427A","TopLayer","49.2500","85.7501","0","Fitted"
"R426B","TopLayer","120.5000","68.5000","0","Fitted"
"R426A","TopLayer","45.5000","68.5000","0","Fitted"
"R425B","TopLayer","121.2500","70.7500","90","Fitted"
"R425A","TopLayer","46.2500","70.7500","90","Fitted"
"R424B","TopLayer","100.0000","90.5000","270","Fitted"
"R424A","TopLayer","25.0000","90.5000","270","Fitted"
"R423B","TopLayer","100.7500","81.0000","0","Fitted"
"R423A","TopLayer","25.7500","81.0000","0","Fitted"
"R422B","TopLayer","100.5000","67.5000","90","Fitted"
"R422A","TopLayer","25.5000","67.5000","90","Fitted"
"R421B","TopLayer","98.0000","67.5000","90","Fitted"
"R421A","TopLayer","22.9999","67.5000","90","Fitted"
"R420B","TopLayer","95.5000","67.5000","90","Fitted"
"R420A","TopLayer","20.4999","67.5000","90","Fitted"
"R419B","TopLayer","93.0000","67.5000","90","Fitted"
"R419A","TopLayer","18.0000","67.5000","90","Fitted"
